id,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
64,no checking,18,critical/other existing credit,furniture/equipment,3617,<100,>=7,1,female div/dep/mar,none,2,no known property,25,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
65,<0,9,critical/other existing credit,radio/tv,1543,<100,1<=X<4,3,male single,none,4,no known property,25,none,for free,1,skilled,1,none,yes,good
66,0<=X<200,6,existing paid,other,1795,no known savings,>=7,3,male single,none,4,car,43,bank,own,2,skilled,1,yes,yes,good
67,no checking,24,delayed previously,radio/tv,2864,100<=X<500,1<=X<4,2,male single,none,4,car,43,none,own,2,unskilled resident,2,none,yes,bad
68,0<=X<200,18,existing paid,new car,9157,>=1000,>=7,1,male div/sep,none,4,real estate,35,none,for free,2,skilled,1,none,yes,good
69,<0,15,all paid,furniture/equipment,2133,<100,>=7,3,male single,none,4,life insurance,41,none,own,2,unskilled resident,2,yes,yes,good
70,no checking,12,existing paid,furniture/equipment,10222,<100,1<=X<4,4,female div/dep/mar,guarantor,2,real estate,59,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
71,<0,7,existing paid,new car,10875,no known savings,>=7,4,male single,guarantor,4,car,40,none,rent,1,unskilled resident,2,none,yes,good
72,>=200,24,delayed previously,business,1386,<100,4<=X<7,3,female div/dep/mar,none,4,life insurance,33,none,own,1,skilled,1,none,yes,good
73,0<=X<200,12,existing paid,used car,1188,no known savings,<1,4,female div/dep/mar,none,1,real estate,32,none,rent,1,skilled,2,yes,yes,bad
74,no checking,6,existing paid,radio/tv,9271,<100,>=7,1,female div/dep/mar,co applicant,4,life insurance,26,stores,own,3,high qualif/self emp/mgmt,1,none,yes,good
75,no checking,12,existing paid,domestic appliance,3566,<100,4<=X<7,3,male single,none,4,car,32,none,own,1,skilled,1,none,yes,good
76,<0,9,critical/other existing credit,used car,2375,<100,<1,2,female div/dep/mar,none,2,car,23,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
77,no checking,10,existing paid,radio/tv,1007,<100,1<=X<4,3,female div/dep/mar,guarantor,4,real estate,36,none,rent,1,skilled,1,none,yes,good
78,0<=X<200,12,existing paid,new car,1469,<100,1<=X<4,2,male single,none,4,real estate,61,none,own,1,skilled,1,none,yes,bad
79,no checking,36,all paid,new car,1344,<100,>=7,3,male single,none,2,life insurance,22,bank,own,1,skilled,2,yes,yes,bad
80,0<=X<200,48,existing paid,furniture/equipment,2319,<100,4<=X<7,2,female div/dep/mar,none,4,real estate,42,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
81,0<=X<200,18,existing paid,business,7629,<100,1<=X<4,4,male single,none,1,no known property,35,none,rent,1,skilled,2,none,yes,good
82,no checking,21,existing paid,furniture/equipment,1136,>=1000,4<=X<7,2,male single,none,3,car,20,none,own,1,skilled,1,none,yes,good
83,no checking,12,existing paid,new car,3062,<100,1<=X<4,2,male single,none,2,real estate,32,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
84,no checking,60,all paid,new car,806,<100,unemployed,4,male single,none,4,life insurance,28,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
85,<0,18,critical/other existing credit,furniture/equipment,2278,no known savings,>=7,3,male single,none,4,no known property,23,none,own,1,skilled,1,none,yes,good
86,no checking,24,existing paid,new car,1943,500<=X<1000,1<=X<4,2,male single,none,2,car,36,none,own,1,skilled,1,none,yes,good
87,<0,12,existing paid,furniture/equipment,1935,<100,4<=X<7,4,male single,guarantor,4,life insurance,39,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
88,<0,12,critical/other existing credit,radio/tv,6199,<100,<1,1,male single,none,3,car,31,none,rent,1,skilled,1,none,yes,bad
89,no checking,24,existing paid,repairs,3804,<100,1<=X<4,4,female div/dep/mar,none,2,car,22,stores,own,2,skilled,1,none,yes,bad
90,<0,15,all paid,education,4169,<100,1<=X<4,4,female div/dep/mar,none,4,no known property,36,none,own,1,skilled,1,none,yes,good
91,no checking,18,critical/other existing credit,used car,753,<100,1<=X<4,3,male single,none,4,no known property,26,none,own,2,skilled,1,yes,yes,bad
92,<0,18,existing paid,education,1228,<100,1<=X<4,2,male single,none,4,no known property,34,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
93,0<=X<200,24,existing paid,used car,5842,<100,>=7,4,male single,none,4,real estate,30,none,rent,2,unskilled resident,1,yes,yes,good
94,no checking,9,existing paid,furniture/equipment,1928,<100,>=7,4,female div/dep/mar,guarantor,2,life insurance,21,none,own,1,unskilled resident,2,none,yes,bad
95,no checking,28,critical/other existing credit,new car,3357,no known savings,4<=X<7,3,female div/dep/mar,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,bad
96,<0,30,critical/other existing credit,furniture/equipment,9277,no known savings,1<=X<4,4,male div/sep,guarantor,4,car,33,none,own,1,skilled,1,yes,yes,good
97,>=200,12,existing paid,used car,6579,<100,1<=X<4,4,male div/sep,none,2,real estate,39,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
98,<0,10,existing paid,furniture/equipment,1188,500<=X<1000,1<=X<4,2,male single,none,2,life insurance,34,none,own,1,skilled,1,none,yes,bad
99,<0,45,all paid,new car,18424,<100,>=7,3,male single,none,4,car,34,bank,own,2,skilled,1,none,yes,good
100,<0,12,critical/other existing credit,new car,3384,<100,<1,2,male single,none,4,life insurance,35,none,own,2,skilled,2,none,yes,good
101,0<=X<200,21,delayed previously,business,950,no known savings,unemployed,4,female div/dep/mar,none,4,life insurance,22,bank,own,1,skilled,1,none,yes,good
102,<0,12,all paid,furniture/equipment,2404,<100,>=7,2,male single,none,1,real estate,23,none,own,1,unskilled resident,1,none,yes,good
103,no checking,30,critical/other existing credit,education,1381,100<=X<500,<1,4,male single,none,4,life insurance,30,bank,rent,2,unskilled resident,1,none,yes,bad
104,no checking,36,existing paid,business,2149,<100,>=7,1,male single,none,3,real estate,38,none,own,2,skilled,1,none,yes,good
105,<0,36,delayed previously,furniture/equipment,1313,<100,<1,4,male single,none,4,car,26,none,own,2,skilled,1,yes,yes,good
106,<0,30,existing paid,used car,4153,<100,1<=X<4,1,male single,none,2,no known property,29,bank,own,2,skilled,2,none,yes,bad
107,no checking,24,existing paid,radio/tv,1572,<100,4<=X<7,4,female div/dep/mar,none,4,car,31,none,own,1,skilled,2,none,yes,good
108,no checking,24,existing paid,business,2301,<100,<1,4,female div/dep/mar,none,4,life insurance,31,stores,own,1,skilled,1,none,yes,good
109,0<=X<200,45,existing paid,new car,10297,<100,<1,1,male single,none,4,car,26,none,own,1,skilled,1,none,yes,bad
110,no checking,30,critical/other existing credit,radio/tv,1371,<100,>=7,4,male single,none,3,car,32,stores,own,2,unskilled resident,1,yes,no,good
111,0<=X<200,6,existing paid,business,10366,<100,<1,4,female div/dep/mar,none,1,no known property,28,none,own,1,skilled,1,yes,yes,good
112,<0,24,existing paid,used car,2197,no known savings,unemployed,1,male single,none,4,car,31,none,own,1,skilled,1,yes,yes,good
113,no checking,12,all paid,used car,1747,no known savings,1<=X<4,4,male div/sep,none,2,car,47,none,own,1,skilled,2,yes,yes,good
114,0<=X<200,24,critical/other existing credit,education,701,100<=X<500,1<=X<4,4,male single,none,4,car,26,none,own,1,skilled,1,none,yes,bad
115,no checking,6,delayed previously,education,3650,<100,>=7,4,male single,none,1,real estate,38,none,own,1,unemp/unskilled non res,1,none,yes,bad
116,0<=X<200,21,existing paid,new car,6458,<100,<1,3,female div/dep/mar,none,2,car,31,none,own,1,skilled,1,none,yes,bad
117,0<=X<200,10,critical/other existing credit,radio/tv,1344,>=1000,4<=X<7,4,male div/sep,none,3,real estate,35,none,own,1,unskilled resident,1,none,yes,good
118,no checking,24,delayed previously,business,2969,<100,<1,4,male single,none,4,real estate,27,none,own,1,skilled,1,none,yes,bad
119,<0,21,existing paid,education,1231,no known savings,<1,2,male mar/wid,none,1,car,42,none,own,2,skilled,1,none,yes,good
120,no checking,9,existing paid,radio/tv,1808,no known savings,4<=X<7,4,male single,none,4,car,33,bank,own,2,unskilled resident,1,yes,yes,good
121,no checking,12,existing paid,radio/tv,958,100<=X<500,1<=X<4,4,male single,none,1,car,35,none,rent,2,skilled,1,none,yes,good
122,>=200,12,all paid,radio/tv,1546,500<=X<1000,>=7,4,male single,none,2,real estate,38,none,rent,1,high qualif/self emp/mgmt,2,none,yes,bad
123,no checking,24,existing paid,furniture/equipment,932,no known savings,4<=X<7,4,male single,none,4,life insurance,31,none,own,2,skilled,1,yes,yes,good
124,>=200,12,existing paid,radio/tv,3632,<100,1<=X<4,3,female div/dep/mar,none,4,life insurance,22,none,own,2,skilled,1,none,yes,good
125,<0,9,existing paid,business,7485,<100,1<=X<4,2,female div/dep/mar,none,1,life insurance,37,none,own,2,unskilled resident,1,yes,yes,good
126,<0,24,existing paid,new car,1200,no known savings,>=7,4,male single,none,1,no known property,28,none,own,1,unskilled resident,1,yes,yes,good
127,no checking,24,existing paid,education,1249,500<=X<1000,<1,1,male single,none,4,car,67,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
128,<0,10,critical/other existing credit,new car,937,<100,1<=X<4,3,female div/dep/mar,none,2,car,39,none,rent,2,skilled,1,none,yes,good
129,0<=X<200,6,existing paid,radio/tv,12169,<100,1<=X<4,2,female div/dep/mar,none,4,car,20,none,own,2,unskilled resident,1,none,yes,good
130,no checking,39,no credits/all paid,new car,1103,100<=X<500,1<=X<4,4,male single,none,4,no known property,26,bank,own,2,skilled,1,yes,yes,good
131,0<=X<200,12,delayed previously,radio/tv,2760,<100,1<=X<4,4,male div/sep,none,2,real estate,29,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
132,no checking,8,critical/other existing credit,radio/tv,802,no known savings,unemployed,1,male single,none,2,car,35,bank,rent,1,skilled,1,none,yes,good
133,<0,18,critical/other existing credit,radio/tv,368,500<=X<1000,>=7,4,male div/sep,none,2,life insurance,24,none,own,1,skilled,1,none,yes,good
134,<0,24,critical/other existing credit,used car,781,no known savings,<1,4,female div/dep/mar,none,3,life insurance,42,none,own,1,unskilled resident,1,none,yes,bad
135,no checking,15,critical/other existing credit,radio/tv,1201,<100,<1,3,male single,none,3,life insurance,41,none,for free,1,skilled,1,none,yes,bad
136,no checking,6,existing paid,furniture/equipment,684,<100,4<=X<7,2,female div/dep/mar,none,1,life insurance,23,none,own,2,skilled,1,none,yes,good
137,<0,12,critical/other existing credit,furniture/equipment,14179,<100,4<=X<7,4,female div/dep/mar,none,4,car,25,bank,for free,2,unskilled resident,1,none,yes,good
138,0<=X<200,24,existing paid,furniture/equipment,3757,<100,unemployed,4,male single,none,4,life insurance,60,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
139,no checking,12,critical/other existing credit,furniture/equipment,3620,no known savings,<1,3,male div/sep,none,4,real estate,28,stores,for free,1,unskilled resident,1,yes,yes,good
140,no checking,18,no credits/all paid,radio/tv,2611,>=1000,>=7,2,female div/dep/mar,none,4,real estate,67,none,for free,1,unskilled resident,1,none,yes,good
141,<0,12,existing paid,radio/tv,1323,<100,1<=X<4,4,male mar/wid,none,2,car,23,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
142,0<=X<200,15,critical/other existing credit,furniture/equipment,1680,<100,1<=X<4,4,male single,none,2,life insurance,44,none,own,2,skilled,1,yes,yes,good
143,no checking,24,critical/other existing credit,education,1239,>=1000,4<=X<7,1,male single,none,3,no known property,74,none,own,1,skilled,1,none,yes,bad
144,0<=X<200,27,existing paid,furniture/equipment,1225,<100,>=7,2,female div/dep/mar,guarantor,2,real estate,65,none,own,1,skilled,1,yes,yes,good
145,<0,24,critical/other existing credit,radio/tv,7629,no known savings,>=7,4,male mar/wid,none,1,car,37,bank,own,2,skilled,1,yes,no,good
146,no checking,15,existing paid,furniture/equipment,1213,<100,<1,2,male single,none,2,life insurance,29,none,own,2,skilled,2,yes,yes,bad
147,<0,6,critical/other existing credit,new car,1028,no known savings,unemployed,4,female div/dep/mar,none,1,car,21,none,own,1,unskilled resident,1,none,yes,good
148,no checking,15,delayed previously,used car,2121,<100,>=7,2,female div/dep/mar,none,2,real estate,35,none,own,1,skilled,1,yes,yes,good
149,<0,18,existing paid,furniture/equipment,3092,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,35,none,own,2,skilled,1,yes,yes,good
150,<0,21,existing paid,radio/tv,4308,<100,4<=X<7,2,male single,none,2,life insurance,31,none,own,1,skilled,1,none,yes,bad
151,<0,12,critical/other existing credit,business,626,<100,>=7,4,male single,none,3,no known property,24,none,for free,1,skilled,1,yes,yes,good
152,<0,18,existing paid,new car,5954,<100,1<=X<4,3,female div/dep/mar,none,3,car,24,none,own,1,skilled,1,none,yes,good
153,>=200,18,critical/other existing credit,radio/tv,1410,no known savings,1<=X<4,2,male single,none,2,no known property,56,none,own,1,unskilled resident,1,none,yes,bad
154,0<=X<200,12,no credits/all paid,domestic appliance,2697,<100,>=7,4,male single,none,2,life insurance,50,none,own,2,skilled,1,yes,yes,good
155,<0,21,existing paid,used car,2039,<100,unemployed,4,male single,none,4,car,34,none,rent,1,skilled,1,yes,yes,good
156,0<=X<200,10,critical/other existing credit,new car,1287,100<=X<500,unemployed,3,male single,none,2,real estate,27,none,own,2,skilled,2,none,yes,good
157,no checking,48,existing paid,business,343,no known savings,>=7,4,female div/dep/mar,none,1,real estate,46,none,own,1,unskilled resident,1,none,yes,bad
158,<0,11,critical/other existing credit,furniture/equipment,1577,>=1000,>=7,1,male single,co applicant,4,life insurance,31,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
159,<0,11,existing paid,furniture/equipment,6948,no known savings,1<=X<4,3,female div/dep/mar,none,4,car,31,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
160,<0,11,delayed previously,radio/tv,790,<100,4<=X<7,4,male single,none,4,car,39,none,own,2,unskilled resident,1,yes,yes,good
161,0<=X<200,48,existing paid,business,2828,<100,1<=X<4,4,male single,none,4,real estate,35,none,own,1,unskilled resident,2,none,yes,good
162,no checking,48,critical/other existing credit,furniture/equipment,640,100<=X<500,4<=X<7,3,female div/dep/mar,none,1,car,29,bank,own,3,high qualif/self emp/mgmt,2,yes,no,good
163,0<=X<200,8,critical/other existing credit,used car,2708,100<=X<500,1<=X<4,2,male single,none,4,real estate,27,none,own,2,skilled,2,none,yes,good
164,no checking,24,critical/other existing credit,used car,1007,no known savings,<1,1,male single,none,3,car,48,none,rent,1,skilled,1,yes,yes,good
165,no checking,12,existing paid,radio/tv,996,no known savings,4<=X<7,1,male single,none,2,real estate,38,bank,for free,1,skilled,1,none,yes,good
166,no checking,36,existing paid,radio/tv,1374,<100,>=7,3,male single,none,4,no known property,24,none,own,1,unemp/unskilled non res,1,none,yes,good
167,0<=X<200,18,existing paid,business,1038,<100,>=7,4,male single,co applicant,1,no known property,23,none,own,1,unskilled resident,1,yes,yes,bad
168,no checking,18,existing paid,business,8318,<100,<1,1,male div/sep,none,3,life insurance,22,none,own,1,skilled,1,none,yes,good
169,no checking,12,existing paid,furniture/equipment,915,<100,>=7,1,female div/dep/mar,none,1,car,48,none,own,1,unemp/unskilled non res,1,yes,yes,good
170,<0,24,critical/other existing credit,furniture/equipment,3857,500<=X<1000,1<=X<4,4,male single,none,4,life insurance,37,none,own,2,skilled,1,none,yes,good
171,0<=X<200,12,all paid,radio/tv,2279,<100,4<=X<7,4,male single,none,4,life insurance,37,none,own,2,skilled,1,yes,yes,bad
172,<0,24,critical/other existing credit,radio/tv,1410,<100,1<=X<4,2,female div/dep/mar,none,4,real estate,58,none,own,1,skilled,1,yes,yes,bad
173,0<=X<200,30,existing paid,radio/tv,618,<100,4<=X<7,4,male single,none,2,real estate,28,none,own,1,skilled,1,none,yes,good
174,<0,12,existing paid,furniture/equipment,2319,<100,4<=X<7,4,female div/dep/mar,none,2,real estate,22,bank,own,3,skilled,1,none,yes,good
175,no checking,24,existing paid,radio/tv,2862,<100,>=7,2,male single,none,4,car,24,none,own,1,unskilled resident,1,none,yes,good
176,0<=X<200,12,existing paid,new car,783,no known savings,4<=X<7,2,male single,none,2,real estate,55,none,rent,1,unskilled resident,1,yes,yes,good
177,<0,9,critical/other existing credit,new car,2251,<100,1<=X<4,3,male div/sep,none,4,real estate,27,none,own,1,skilled,1,yes,yes,good
178,no checking,24,existing paid,radio/tv,1199,<100,<1,4,male single,none,4,car,40,none,for free,1,skilled,1,none,yes,bad
179,0<=X<200,24,existing paid,new car,3149,<100,>=7,2,male single,none,2,real estate,55,none,for free,1,unskilled resident,1,yes,yes,good
180,<0,30,existing paid,new car,783,<100,4<=X<7,4,male single,none,1,real estate,29,none,own,1,skilled,2,none,yes,bad
181,no checking,18,delayed previously,repairs,10875,100<=X<500,<1,2,female div/dep/mar,none,2,car,40,none,rent,2,unskilled resident,1,none,yes,good
182,no checking,18,existing paid,new car,15857,<100,>=7,3,male single,none,4,life insurance,23,none,own,1,skilled,1,yes,yes,good
183,<0,12,existing paid,business,2353,<100,>=7,4,male single,none,4,no known property,20,bank,rent,1,unskilled resident,1,none,yes,good
184,no checking,10,no credits/all paid,new car,3349,<100,unemployed,3,female div/dep/mar,none,4,car,40,none,for free,1,skilled,1,none,yes,good
185,0<=X<200,21,existing paid,furniture/equipment,12680,no known savings,1<=X<4,4,female div/dep/mar,none,4,real estate,27,bank,rent,1,skilled,1,none,yes,good
186,<0,36,existing paid,used car,392,100<=X<500,4<=X<7,3,male div/sep,none,4,real estate,52,none,for free,2,unskilled resident,1,none,yes,bad
187,<0,30,existing paid,retraining,10477,500<=X<1000,unemployed,4,female div/dep/mar,none,4,real estate,34,none,rent,1,skilled,2,yes,yes,good
188,no checking,24,existing paid,radio/tv,1922,<100,4<=X<7,4,female div/dep/mar,none,4,life insurance,42,none,rent,2,high qualif/self emp/mgmt,1,none,yes,good
189,0<=X<200,24,critical/other existing credit,furniture/equipment,918,<100,1<=X<4,3,male single,none,4,real estate,29,none,own,1,skilled,1,none,yes,good
190,>=200,48,delayed previously,new car,2323,>=1000,4<=X<7,3,female div/dep/mar,none,1,real estate,31,none,for free,2,skilled,2,none,yes,good
191,<0,15,all paid,new car,1520,<100,1<=X<4,2,male single,none,4,no known property,43,none,own,1,skilled,2,none,yes,good
192,no checking,27,existing paid,business,1258,>=1000,>=7,3,male single,none,2,life insurance,63,none,own,2,skilled,2,none,yes,bad
193,0<=X<200,4,existing paid,radio/tv,2223,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,29,none,own,1,skilled,1,none,yes,good
