id,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
48,0<=X<200,24,existing paid,furniture/equipment,1820,no known savings,1<=X<4,4,male single,none,1,real estate,34,none,for free,1,unemp/unskilled non res,1,yes,yes,good
49,0<=X<200,24,all paid,business,10722,<100,>=7,4,male single,none,4,no known property,35,none,own,1,unskilled resident,1,none,yes,bad
50,0<=X<200,60,critical/other existing credit,business,1055,<100,>=7,4,female div/dep/mar,none,2,no known property,63,none,own,2,skilled,1,none,yes,bad
51,no checking,24,existing paid,radio/tv,7057,no known savings,1<=X<4,2,male single,none,2,car,46,none,own,1,skilled,1,none,yes,good
52,<0,15,critical/other existing credit,new car,1603,<100,unemployed,4,male single,none,4,life insurance,32,bank,own,2,skilled,1,yes,yes,good
53,no checking,18,existing paid,furniture/equipment,730,no known savings,<1,1,male single,guarantor,2,life insurance,31,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
54,0<=X<200,36,existing paid,radio/tv,3349,<100,4<=X<7,3,male single,none,1,car,28,none,own,2,skilled,1,yes,yes,good
55,<0,6,existing paid,new car,2728,no known savings,>=7,2,female div/dep/mar,none,1,car,32,none,rent,1,skilled,1,none,yes,bad
56,no checking,48,existing paid,furniture/equipment,4526,<100,1<=X<4,1,male single,none,2,life insurance,32,none,rent,1,high qualif/self emp/mgmt,1,none,yes,bad
57,no checking,24,existing paid,new car,1493,<100,<1,4,female div/dep/mar,none,3,life insurance,35,none,rent,1,skilled,1,none,yes,bad
58,no checking,12,delayed previously,new car,6614,<100,1<=X<4,4,female div/dep/mar,none,1,car,42,none,own,1,skilled,2,yes,yes,good
59,<0,12,critical/other existing credit,furniture/equipment,1503,<100,>=7,3,male mar/wid,none,3,no known property,24,none,own,1,skilled,1,none,yes,good
60,no checking,36,delayed previously,new car,2579,<100,4<=X<7,3,male single,none,4,car,39,none,for free,1,unskilled resident,2,yes,no,good
61,<0,18,existing paid,used car,5965,<100,>=7,1,female div/dep/mar,none,4,car,54,none,for free,2,skilled,2,none,yes,bad
62,0<=X<200,21,critical/other existing credit,new car,2759,<100,unemployed,1,male single,none,2,car,36,none,rent,1,skilled,2,yes,yes,bad
63,no checking,6,existing paid,radio/tv,2864,100<=X<500,unemployed,3,male single,co applicant,2,car,21,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
64,no checking,12,all paid,radio/tv,7308,<100,>=7,3,male single,none,4,life insurance,29,none,for free,1,skilled,1,none,yes,good
65,<0,27,critical/other existing credit,furniture/equipment,10477,<100,>=7,4,male single,none,2,car,26,none,own,1,skilled,2,none,yes,bad
66,no checking,24,existing paid,used car,1343,<100,1<=X<4,2,male single,none,3,car,30,none,for free,1,skilled,2,yes,no,bad
67,no checking,9,delayed previously,other,1213,<100,4<=X<7,2,male single,none,2,car,27,bank,for free,1,skilled,1,none,yes,bad
68,<0,36,existing paid,new car,2442,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,44,none,own,2,unskilled resident,1,yes,yes,good
69,no checking,6,existing paid,used car,3345,<100,>=7,4,male mar/wid,none,4,car,54,none,own,1,skilled,1,none,yes,good
70,no checking,36,existing paid,new car,1484,500<=X<1000,1<=X<4,4,female div/dep/mar,none,3,real estate,35,stores,rent,1,unskilled resident,1,none,yes,good
71,0<=X<200,24,critical/other existing credit,radio/tv,1585,<100,1<=X<4,4,male single,none,4,no known property,54,none,own,1,unskilled resident,2,none,yes,good
72,0<=X<200,10,existing paid,radio/tv,2577,<100,4<=X<7,1,female div/dep/mar,none,2,no known property,48,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
73,0<=X<200,47,critical/other existing credit,new car,5302,<100,<1,2,female div/dep/mar,none,2,car,26,stores,own,1,skilled,1,yes,yes,good
74,<0,15,existing paid,furniture/equipment,1740,<100,1<=X<4,3,male single,none,4,car,46,bank,own,1,skilled,1,yes,yes,bad
75,<0,8,all paid,business,4351,<100,<1,4,male single,none,4,car,25,none,own,1,skilled,2,none,yes,good
76,<0,30,no credits/all paid,new car,1544,<100,4<=X<7,4,female div/dep/mar,none,2,no known property,52,none,rent,1,unskilled resident,1,none,yes,good
77,>=200,18,existing paid,radio/tv,3599,<100,>=7,2,male single,none,4,life insurance,37,none,own,1,skilled,1,none,yes,good
78,no checking,36,no credits/all paid,new car,6314,<100,<1,4,male single,none,3,life insurance,36,none,own,1,skilled,1,yes,yes,good
79,<0,12,critical/other existing credit,used car,1082,<100,1<=X<4,1,male single,none,3,life insurance,46,bank,own,1,unemp/unskilled non res,2,none,yes,bad
80,<0,10,critical/other existing credit,radio/tv,4351,500<=X<1000,1<=X<4,4,male single,none,4,no known property,35,none,rent,2,skilled,1,yes,yes,good
81,0<=X<200,24,existing paid,business,3749,<100,<1,2,male single,none,4,car,40,none,own,2,skilled,1,none,yes,bad
82,<0,36,critical/other existing credit,repairs,1361,<100,1<=X<4,1,male div/sep,none,1,life insurance,28,none,own,1,unskilled resident,1,yes,yes,bad
83,<0,30,existing paid,radio/tv,426,100<=X<500,unemployed,4,male mar/wid,none,4,car,21,none,own,3,skilled,1,none,yes,good
84,<0,24,critical/other existing credit,new car,3077,no known savings,1<=X<4,3,male single,none,2,life insurance,63,none,own,2,skilled,1,yes,yes,good
85,no checking,36,existing paid,radio/tv,5371,no known savings,1<=X<4,4,male div/sep,none,4,car,52,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
86,<0,36,existing paid,radio/tv,951,<100,1<=X<4,4,male single,none,4,real estate,39,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
87,<0,12,existing paid,repairs,3399,<100,1<=X<4,1,male single,none,4,no known property,43,bank,own,2,unskilled resident,1,yes,yes,good
88,0<=X<200,12,existing paid,new car,3077,<100,>=7,4,female div/dep/mar,none,4,car,23,bank,own,2,unskilled resident,1,none,yes,good
89,0<=X<200,18,critical/other existing credit,domestic appliance,2032,no known savings,1<=X<4,2,male single,none,4,real estate,29,none,rent,1,skilled,1,none,yes,good
90,no checking,24,critical/other existing credit,radio/tv,1670,no known savings,1<=X<4,2,male div/sep,none,1,real estate,42,none,own,2,unskilled resident,1,none,yes,good
91,no checking,18,all paid,radio/tv,5804,100<=X<500,4<=X<7,2,male single,none,2,no known property,30,none,rent,1,unskilled resident,1,none,yes,good
92,0<=X<200,12,existing paid,furniture/equipment,8133,no known savings,<1,4,male single,none,1,life insurance,42,none,own,1,skilled,1,none,yes,bad
93,no checking,48,existing paid,radio/tv,976,<100,1<=X<4,4,male single,none,4,car,44,none,own,1,skilled,1,none,yes,good
94,no checking,11,critical/other existing credit,used car,1126,<100,>=7,2,male mar/wid,none,2,car,52,none,for free,1,skilled,1,none,yes,good
95,0<=X<200,18,existing paid,used car,3160,no known savings,1<=X<4,3,male div/sep,none,2,real estate,24,bank,own,3,high qualif/self emp/mgmt,1,none,yes,good
96,<0,42,existing paid,new car,1413,no known savings,>=7,4,male single,none,3,real estate,75,stores,own,1,skilled,1,none,yes,bad
97,no checking,12,existing paid,repairs,1526,no known savings,>=7,3,female div/dep/mar,none,4,life insurance,30,none,for free,2,unemp/unskilled non res,1,none,yes,good
98,>=200,18,existing paid,new car,368,100<=X<500,4<=X<7,4,male single,none,4,real estate,26,none,own,2,skilled,1,none,yes,good
99,<0,45,existing paid,furniture/equipment,2745,<100,>=7,3,male single,none,2,car,26,none,own,1,unskilled resident,1,yes,yes,good
100,<0,11,existing paid,radio/tv,2910,500<=X<1000,1<=X<4,3,male mar/wid,none,4,real estate,25,bank,for free,2,skilled,1,none,yes,bad
101,>=200,30,critical/other existing credit,domestic appliance,4817,100<=X<500,unemployed,3,male single,guarantor,2,real estate,54,stores,rent,1,skilled,2,yes,yes,good
102,0<=X<200,12,critical/other existing credit,furniture/equipment,2924,100<=X<500,>=7,1,male single,none,2,real estate,31,none,own,1,skilled,1,none,yes,bad
103,no checking,36,critical/other existing credit,new car,4843,no known savings,<1,2,male mar/wid,none,4,no known property,27,none,for free,1,unskilled resident,1,yes,yes,good
104,no checking,18,existing paid,domestic appliance,1455,no known savings,4<=X<7,3,male single,none,3,car,33,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
105,<0,36,critical/other existing credit,furniture/equipment,1264,<100,unemployed,4,male mar/wid,none,3,car,26,none,rent,1,skilled,1,none,yes,good
106,<0,24,critical/other existing credit,used car,2101,<100,1<=X<4,4,male mar/wid,none,2,car,37,none,own,1,skilled,1,none,yes,bad
107,0<=X<200,9,delayed previously,furniture/equipment,1185,<100,1<=X<4,4,female div/dep/mar,none,4,no known property,30,none,own,1,skilled,1,yes,yes,good
108,0<=X<200,18,existing paid,education,3863,100<=X<500,1<=X<4,4,male mar/wid,none,2,car,23,none,rent,1,skilled,1,none,yes,good
109,<0,12,critical/other existing credit,new car,5381,<100,4<=X<7,3,female div/dep/mar,none,3,car,27,none,own,1,skilled,1,none,yes,good
110,no checking,36,critical/other existing credit,furniture/equipment,2146,<100,4<=X<7,2,male single,none,3,no known property,29,none,rent,1,skilled,1,none,yes,good
111,<0,12,critical/other existing credit,business,10875,no known savings,unemployed,4,female div/dep/mar,guarantor,1,real estate,23,none,own,1,skilled,2,yes,yes,bad
112,<0,20,critical/other existing credit,furniture/equipment,12389,<100,>=7,4,male single,none,4,car,24,none,own,2,unskilled resident,1,yes,yes,bad
113,<0,12,existing paid,furniture/equipment,339,<100,4<=X<7,4,male div/sep,none,1,no known property,27,none,rent,1,unskilled resident,1,none,yes,good
114,<0,12,all paid,business,1402,<100,>=7,1,female div/dep/mar,none,1,car,30,bank,own,1,skilled,1,none,yes,bad
115,no checking,15,critical/other existing credit,radio/tv,1287,<100,1<=X<4,2,male single,none,4,real estate,55,bank,own,1,skilled,1,none,yes,good
116,no checking,18,existing paid,business,640,<100,1<=X<4,3,male single,none,4,life insurance,36,none,rent,1,skilled,1,none,yes,good
117,0<=X<200,12,existing paid,used car,2028,<100,1<=X<4,1,male single,none,2,real estate,30,none,own,1,skilled,1,yes,yes,bad
118,no checking,6,delayed previously,furniture/equipment,3001,no known savings,<1,4,male div/sep,none,4,car,25,none,own,1,unemp/unskilled non res,1,none,yes,bad
119,no checking,9,all paid,new car,3186,500<=X<1000,1<=X<4,4,male mar/wid,none,1,life insurance,32,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,bad
120,>=200,12,delayed previously,new car,2101,<100,4<=X<7,4,female div/dep/mar,none,2,car,29,none,own,1,unskilled resident,2,none,yes,good
121,no checking,30,existing paid,radio/tv,2214,<100,4<=X<7,4,male single,none,4,real estate,23,none,rent,1,skilled,1,none,yes,good
122,no checking,18,existing paid,new car,1860,<100,4<=X<7,2,female div/dep/mar,none,4,life insurance,39,none,rent,2,unskilled resident,2,yes,yes,good
123,no checking,15,critical/other existing credit,business,2445,<100,>=7,4,male single,none,4,real estate,37,none,own,1,unskilled resident,1,none,yes,good
124,>=200,6,critical/other existing credit,new car,3878,no known savings,>=7,2,female div/dep/mar,none,4,real estate,66,none,rent,1,skilled,1,yes,yes,bad
125,no checking,18,existing paid,business,1474,no known savings,<1,4,male mar/wid,none,3,no known property,37,none,own,2,skilled,1,none,yes,good
126,no checking,24,critical/other existing credit,used car,4210,<100,>=7,4,male single,none,2,life insurance,26,none,rent,1,skilled,1,none,yes,good
127,no checking,12,existing paid,used car,1797,<100,<1,2,female div/dep/mar,none,3,real estate,52,none,rent,1,skilled,1,none,yes,bad
128,<0,60,existing paid,furniture/equipment,14318,<100,unemployed,4,male single,none,4,life insurance,29,none,rent,1,skilled,2,yes,yes,bad
129,no checking,9,critical/other existing credit,radio/tv,3017,<100,<1,4,male mar/wid,none,2,real estate,47,bank,own,1,skilled,1,yes,yes,good
130,<0,24,critical/other existing credit,furniture/equipment,625,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,26,stores,own,1,high qualif/self emp/mgmt,1,none,no,bad
131,<0,24,existing paid,business,6419,<100,4<=X<7,3,male single,guarantor,2,real estate,47,none,rent,1,skilled,1,yes,yes,bad
132,no checking,24,existing paid,furniture/equipment,368,500<=X<1000,4<=X<7,4,male single,none,4,real estate,54,stores,own,1,unemp/unskilled non res,1,none,yes,good
133,no checking,24,existing paid,business,654,<100,>=7,4,female div/dep/mar,none,4,car,68,none,own,2,skilled,1,none,yes,good
134,no checking,10,delayed previously,radio/tv,2249,<100,>=7,2,male div/sep,none,1,life insurance,39,none,own,1,skilled,1,yes,yes,good
135,<0,24,existing paid,radio/tv,1245,<100,1<=X<4,4,male mar/wid,none,4,car,23,none,own,1,unskilled resident,1,yes,yes,good
136,no checking,9,critical/other existing credit,used car,518,<100,>=7,2,male single,none,4,life insurance,20,none,rent,1,skilled,2,none,yes,good
137,0<=X<200,12,critical/other existing credit,radio/tv,1924,<100,>=7,2,female div/dep/mar,none,1,life insurance,46,none,own,2,skilled,1,none,no,good
138,no checking,48,existing paid,other,2424,<100,4<=X<7,4,male single,none,3,car,27,none,own,1,skilled,1,yes,yes,bad
139,no checking,9,existing paid,education,3812,<100,>=7,4,male single,none,4,car,23,none,own,2,skilled,1,yes,yes,good
140,<0,42,existing paid,radio/tv,10297,<100,1<=X<4,4,female div/dep/mar,none,2,car,74,none,own,3,skilled,1,none,yes,bad
141,<0,12,delayed previously,business,1274,no known savings,<1,1,male div/sep,none,3,real estate,24,none,own,1,unskilled resident,1,yes,yes,good
142,<0,21,delayed previously,furniture/equipment,3062,no known savings,>=7,2,female div/dep/mar,none,4,real estate,24,none,own,1,skilled,1,none,yes,good
143,no checking,9,critical/other existing credit,used car,1537,<100,1<=X<4,4,female div/dep/mar,none,1,real estate,49,none,own,1,skilled,1,yes,yes,good
144,no checking,9,all paid,furniture/equipment,484,<100,1<=X<4,1,male single,none,4,real estate,27,bank,own,1,skilled,1,yes,yes,good
145,no checking,6,existing paid,radio/tv,5511,<100,>=7,2,female div/dep/mar,none,2,car,38,stores,for free,1,skilled,1,none,yes,bad
146,no checking,18,critical/other existing credit,furniture/equipment,7814,100<=X<500,1<=X<4,4,male single,none,2,life insurance,32,none,own,1,skilled,2,none,yes,good
147,<0,12,no credits/all paid,domestic appliance,13756,<100,4<=X<7,2,male single,none,2,real estate,40,none,own,3,skilled,1,yes,yes,good
148,no checking,45,existing paid,radio/tv,2647,<100,1<=X<4,4,male single,co applicant,2,life insurance,34,bank,own,1,skilled,1,none,yes,bad
149,no checking,24,existing paid,furniture/equipment,4686,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,52,none,own,1,skilled,1,none,yes,good
150,<0,36,existing paid,business,1282,no known savings,>=7,1,male single,none,2,real estate,31,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
151,no checking,18,existing paid,new car,1136,<100,<1,4,female div/dep/mar,none,4,life insurance,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
152,no checking,24,delayed previously,new car,1236,100<=X<500,<1,3,male div/sep,none,2,real estate,39,none,own,1,skilled,2,none,yes,good
153,<0,30,existing paid,furniture/equipment,3979,<100,1<=X<4,4,female div/dep/mar,co applicant,4,life insurance,21,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
154,no checking,24,existing paid,new car,10722,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,46,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
155,<0,4,critical/other existing credit,business,1237,<100,4<=X<7,4,male single,co applicant,4,life insurance,38,none,own,2,skilled,1,none,yes,good
156,no checking,12,critical/other existing credit,furniture/equipment,1393,<100,1<=X<4,2,male single,none,4,real estate,50,none,own,2,skilled,1,yes,yes,good
157,0<=X<200,28,existing paid,radio/tv,2073,<100,>=7,1,female div/dep/mar,none,3,real estate,60,none,rent,2,skilled,1,yes,yes,bad
158,0<=X<200,18,existing paid,used car,1113,<100,>=7,2,male single,guarantor,4,real estate,31,none,own,2,skilled,1,yes,yes,bad
159,0<=X<200,9,no credits/all paid,radio/tv,3868,<100,>=7,2,male single,none,2,car,51,none,own,1,skilled,1,none,yes,bad
160,no checking,12,critical/other existing credit,used car,1209,no known savings,4<=X<7,4,male mar/wid,none,4,real estate,28,none,own,1,skilled,2,none,yes,good
161,no checking,6,existing paid,used car,8471,<100,4<=X<7,2,male single,none,1,life insurance,41,none,for free,1,skilled,2,none,yes,good
162,no checking,18,existing paid,business,2662,<100,>=7,3,female div/dep/mar,none,2,real estate,47,none,own,1,high qualif/self emp/mgmt,1,yes,no,bad
163,<0,6,delayed previously,repairs,3812,<100,1<=X<4,4,male div/sep,none,2,car,29,none,own,1,unskilled resident,1,yes,yes,good
164,<0,6,delayed previously,business,2782,no known savings,1<=X<4,2,male single,none,3,car,45,bank,own,3,skilled,1,yes,yes,good
165,no checking,24,existing paid,furniture/equipment,2124,<100,unemployed,4,female div/dep/mar,none,2,real estate,32,none,own,1,skilled,1,yes,yes,good
166,<0,8,delayed previously,radio/tv,1657,100<=X<500,1<=X<4,4,male single,none,1,real estate,21,none,rent,2,unskilled resident,1,yes,yes,bad
167,<0,12,existing paid,business,6143,100<=X<500,unemployed,1,female div/dep/mar,co applicant,1,car,28,none,own,1,skilled,1,none,yes,bad
168,no checking,12,existing paid,furniture/equipment,2337,<100,1<=X<4,4,male single,guarantor,1,life insurance,34,none,own,1,unskilled resident,1,none,yes,good
169,0<=X<200,24,critical/other existing credit,furniture/equipment,5842,<100,<1,4,female div/dep/mar,none,1,real estate,54,none,own,1,skilled,1,none,yes,good
170,no checking,36,delayed previously,used car,6224,<100,>=7,4,male single,none,3,real estate,42,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
171,>=200,30,critical/other existing credit,radio/tv,6416,<100,1<=X<4,2,male single,none,4,real estate,25,none,for free,2,skilled,1,none,yes,good
172,no checking,18,existing paid,furniture/equipment,3398,<100,<1,4,male single,none,3,car,35,none,own,1,skilled,1,yes,yes,bad
173,no checking,12,existing paid,furniture/equipment,707,<100,1<=X<4,1,male single,none,3,real estate,75,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
174,<0,24,existing paid,new car,518,no known savings,4<=X<7,4,male single,none,1,life insurance,27,none,own,1,skilled,1,yes,yes,bad
175,<0,13,existing paid,radio/tv,1887,<100,<1,2,female div/dep/mar,none,1,car,43,none,rent,2,skilled,2,yes,yes,good
176,no checking,24,existing paid,new car,1908,<100,<1,2,male single,none,2,car,63,none,own,1,skilled,1,none,yes,bad
177,<0,12,existing paid,new car,2600,>=1000,>=7,1,male single,none,2,life insurance,26,none,own,1,skilled,1,yes,yes,good
178,<0,24,all paid,furniture/equipment,932,<100,>=7,2,male mar/wid,none,4,no known property,23,none,own,2,skilled,1,yes,yes,good
179,<0,24,existing paid,new car,3652,<100,>=7,2,male single,none,2,real estate,30,bank,rent,2,skilled,1,none,yes,good
180,0<=X<200,6,existing paid,education,2872,<100,1<=X<4,2,female div/dep/mar,none,2,life insurance,23,none,own,1,skilled,1,none,yes,good
181,no checking,9,no credits/all paid,new car,2375,<100,4<=X<7,2,male mar/wid,none,1,car,20,none,own,1,unskilled resident,1,none,yes,good
182,<0,24,existing paid,business,8065,<100,unemployed,1,male single,none,1,real estate,23,none,rent,3,skilled,1,none,yes,good
183,0<=X<200,30,existing paid,education,2996,<100,4<=X<7,2,female div/dep/mar,none,2,life insurance,22,none,rent,1,skilled,1,yes,yes,bad
184,<0,12,existing paid,new car,2779,<100,1<=X<4,4,male single,none,4,life insurance,27,none,for free,1,skilled,1,yes,yes,good
185,0<=X<200,9,delayed previously,radio/tv,2528,100<=X<500,4<=X<7,4,female div/dep/mar,guarantor,4,car,33,none,own,1,skilled,1,yes,yes,good
186,0<=X<200,36,existing paid,furniture/equipment,2288,<100,4<=X<7,3,male single,none,4,real estate,32,none,own,1,unskilled resident,1,none,yes,good
187,<0,6,critical/other existing credit,furniture/equipment,5117,500<=X<1000,1<=X<4,4,male single,none,4,car,35,none,own,2,skilled,1,none,yes,good
188,<0,12,existing paid,education,662,100<=X<500,>=7,2,female div/dep/mar,none,4,no known property,29,bank,own,2,unskilled resident,1,none,yes,good
189,<0,24,critical/other existing credit,furniture/equipment,2760,<100,1<=X<4,2,female div/dep/mar,none,1,car,36,stores,own,1,skilled,1,none,no,good
190,no checking,36,existing paid,business,902,no known savings,4<=X<7,2,female div/dep/mar,none,4,life insurance,51,none,own,1,skilled,1,yes,yes,good
191,0<=X<200,24,existing paid,radio/tv,3049,<100,1<=X<4,4,female div/dep/mar,none,4,car,33,none,own,2,skilled,1,none,yes,good
192,0<=X<200,36,existing paid,furniture/equipment,1244,<100,<1,3,female div/dep/mar,none,2,car,32,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
193,0<=X<200,24,existing paid,business,2394,<100,4<=X<7,1,male single,none,1,real estate,22,bank,own,2,skilled,1,none,no,good
